ID	Adres	Soort	Datum	Omschrijving	Foto	COORDS	longitude	latitude
173	Petroleumhavenweg 38	Bom, granaat, afweergeschut	13/03/1942	Brandbom?		POINT(4.860732 52.411234)	4,860732	52,411234
174	Weesperzijde 144	Overig	22/03/1942	Uitgebrande fosfor-ether lichtbus met bijbehorende parachute gevonden. Geen schade		POINT(4.913055 52.349144)	4,913055	52,349144
175	Eerste Keucheniusstraat 21	Bom, granaat, afweergeschut	26/03/1942	Projectiel van het afweergeschut ontploft. Alle ruiten aan de achterkant van Eerste Keucheniusstraat 19, 21 en 23 gesprongen. tuinhuis en hek beschadigd. Gewonden: `Perceel 19 hs: vrouw bloeduitstorting aan het been.Perceel 21 hs: jongeman schram aan het dijbeen.`		POINT(4.872604 52.381079)	4,872604	52,381079
176	Vlothavenweg 20	Bom, granaat, afweergeschut	27/03/1942	Granaatscherven van het afweergeschut. Schade aan de schepen: De tjalk Onderneming, 120 ton, schipper A. v.d. Meer. De zeilkast Korreman, 80 ton, schipper Pekelaar. De stevenaak de Hoop, 229 ton, schipper Pekelaar		POINT(4.853483 52.402951)	4,853483	52,402951
177	Zuivelplein 8 (achterkant)	Bom, granaat, afweergeschut	27/03/1942	Vier granaatscherven van het afweergeschut ingeslagen. Schade aan ruiten en meubilair. Geen persoonlijke ongevallen		POINT(4.946785 52.339909)	4,946785	52,339909
178	Zuiderakerweg 98	Overig	28/03/1942	Uitgebrande lichtkogel met parachute zonder huls. In het weiland van tuinder G.J. Fontijn, 		POINT(4.789015 52.346569)	4,789015	52,346569
179	Zeeburgerdijk 501	Overig	01/04/1942	Ballon of parachute gedaald 		POINT(4.948357 52.366518)	4,948357	52,366518
180	Sloterweg 787	Overig	10/04/1942	Ongeveer 30 fosforrubberbommen. 8 broeikasramen vernield en zeer lichte brandschade aan het dak van een huisje. Geen persoonlijke ongelukken		POINT(4.817374 52.341604)	4,817374	52,341604
181	Hoofdweg 202	Bom, granaat, afweergeschut	15/04/1942	Granaat van het luchtdoelgeschut ingeslagen. Een gat in het wegdek en veel vensterruiten in de omgeving gesprongen. in Hoofdweg 211 schade aan deur, ramen, plafond en vensterruiten. Twee voorbijgangers licht gewond.		POINT(4.853174 52.366361)	4,853174	52,366361
182	Poolsterstraat 4	Bom, granaat, afweergeschut	15/04/1942	Granaat van het luchtdoelgeschut ingeslagen. Geen schade aan huizen. Een lichtgewonde		POINT(4.893165 52.414177)	4,893165	52,414177
183	Curaçaostraat 129	Bom, granaat, afweergeschut	15/04/1942	Scherven granaat afweergeschut. Curaçaostraat 129 hs, voorruit vernield. Curaçaostraat 131 hs, voorruit vernield, plafond en gordijnen beschadigd. Van Walbeekstraat 81 hs, voorruit vernield. Van Walbeekstraat 66 hs, spiegelruit vernield.		POINT(4.851734 52.36284)	4,851734	52,36284
184	Van Walbeeckstraat 66/hs	Omgevingsschade	15/04/1942	Spiegelruit vernield		POINT(4.851216 52.361921)	4,851216	52,361921
185	Duivendrechtsekade 20	Bom, granaat, afweergeschut	31/05/1942	3 brisantbommen gevallen en geëxplodeerd. Geringe schade aan woningen, meubilair en ruiten		POINT(4.924428 52.340839)	4,924428	52,340839
186	Duivendrechtsekade 25	Bom, granaat, afweergeschut	31/05/1942	Steenhouwerij van G.J. Rinse, 2 granaten van het luchtdoelgeschut gevallen en geëxplodeerd. Ernstige schade aan de woning en werkplaats: twee daken, een groot aantal ruiten en de woning en werkplaatsen van binnen verwoest		POINT(4.924168 52.340434)	4,924168	52,340434
187	Foeliedwarsstraat 62	Bom, granaat, afweergeschut	02/06/1942	Granaat van het afweergeschut ingeslagen en ontploft. Trappenhuis en trap versplinterd. 1 gewonde: scherf in rechter kuit		POINT(4.910933 52.370544)	4,910933	52,370544
188	Kuipersstraat 59	Bom, granaat, afweergeschut	02/06/1942	Granaatscherf. Dak doorboord. de scherf doorgedrongen tot de tweede verdieping. Daar werd een plafond beschadigd. Geen doden of gewonden		POINT(4.904417 52.35398)	4,904417	52,35398
189	Dintelstraat 88	Bom, granaat, afweergeschut	02/06/1942	Granaat van het afweergeschut ingeslagen en ontploft. Schoorsteen en daken van de huizen beschadigd. 1 zeer licht gewonde 		POINT(4.893229 52.343742)	4,893229	52,343742
190	Anemoonstraat 5	Bom, granaat, afweergeschut	02/06/1942	Scherf van granaat van het afweergeschut door raam op eerste verdieping ingeslagen. Kozijn en ruit en glazen binnendeur vernield, WC-deur beschadigd, een lap stof gedeeltelijk verbrand . Geen persoonlijke ongevallen		POINT(4.907814 52.387446)	4,907814	52,387446
191	Merwedeplein 8	Overig	09/06/1942	Engels zendapparaat uit de lucht op het dak gevallen?		POINT(4.901584 52.345952)	4,901584	52,345952
192	Van Spilbergenstraat 149	Bom, granaat, afweergeschut	23/07/1942	Granaat van het afweergeschut geëxplodeerd tegen de buitenmuur van de huizen, voor de tussenmuur ter hoogte van de derde verdieping `Muur licht beschadigd, leiding radiocentrale stuk en ramen en waschtobbes op de waranda?s defect.`		POINT(4.850446 52.368596)	4,850446	52,368596
193	Maarten Harpertszoon Trompstraat 19/hs	Bom, granaat, afweergeschut	23/07/1942	`Een scherf van het 6 cm. afweergeschut door een glas-in-loodraam geslagen, vervolgens door een gordijn, heeft daarna een schemerlamp beschadigd en is tenslotte tegen een muur teruggekaatst.`		POINT(4.860933 52.371995)	4,860933	52,371995
194	Koppelingpad 5	Bom, granaat, afweergeschut	16/08/1942	Blindganger of projectiel van het afweergeschut ingeslagen. Schuurtje vernield		POINT(4.900597 52.402542)	4,900597	52,402542
195	Staringstraat 22	Bom, granaat, afweergeschut	16/08/1942	Vliegtuigbom. `Bij een onderzoek in verband met diefstal door de Politie van het Bureau Overtoom 449 ingesteld in een rijwielstalling aan de Staringstraat 22, is een niet geëxplodeerde kleine vliegtuigbom gevonden van Hollandsche oorsprong, welke reeds langen tijd daar heeft gelegen.`		POINT(4.862302 52.361809)	4,862302	52,361809
196	Minervahavenweg 17	Overig	27/08/1942	3 fosforrubberbommen gevallen. Er ontstond geen brand. wel enige schade aan loodsen		POINT(4.875249 52.400072)	4,875249	52,400072
197	Krommeniestraat 18	Overig	27/08/1942	25 ? 30 fosforrubberbommen gevallen. Krommeniestraat 18 III en II geheel uitgebrand, Krommeniestraat 24 III en II gedeeltelijk uitgebrand, Krommeniestraat 26 alleen waterschade. Willem Barendzschool op nummer 21-23 geheel uitgebrand. Op nummer 27 de keuken uitgebrand en op nummer 29 de zolder en huiskamer uitgebrand. Hembrugstraat 41 III en trap nummer 43 uitgebrand. Nummer 68 III geheel uitgebrand. Twee doden. 04.00 Rapporteert de H.I.P. dezer afdeling dat op 27-8-42 te p.m. 23.10, uit overvliegende vliegtuigen phosphorbrandbommen (Naar voorloopige schatting ongeveer 10 stuks) zijn geworpen. Deze zijn terechtgekomen op percelen Krommeniestraat 28-24-29, Hembrugstraat 41 en68 en op Willem Barentszschool i de Kromeniestraat. Daardoor zijn in de eerste vijf percelen middelbranden ontstaan en in de genoemde school een groote brand. Deze school (een houten gebouw) brande geheel uit. De zolders en bovenverdiepingen van de vijf eerstgenoemde percelen brandde ten deels uit. In perceel Hembrugstraat 68-III kwamen twee bewoonsters door verbranding om het leven. De verkoolde lijken zijn naar het W.G. overgebracht. In de andere percelen deden zich, voor zoover bekend geen persoonlijke ongelukken voor. De branden zijn gebluscht door de beroepsbrandweer, geassisteerd door de brandweer van de vrijwillige luchtbeschermingsdienst. Verkeersstoornis vond niet plaats. Er werden 33 slangen gebruikt. De afzetting werd gehandhaafd door eigen personeel, met detachementen van de afdelingen en het P.B.A. Het detachement van het P.B.A. is te 1 uur ingerukt. Ongeveer 30 personen in een evacuatiepost ondergebracht. Ter plaatse waren aanwezig de Burgemeester . de Hoofdcommissaris en Majoor Leisner. De afzetting stond onder bevel van L.P. Hulskamp. Bovendien zijn drie brandbommen terecht gekomen op het terrein van de houthavens welke echter geen schade hebben aangericht. In de houtloods van de firma van Epen is een begin van brand ontstaan, die door den wachtsman W. Arkenbout met een brandbluschapparaat is bedwongen.		POINT(4.875307 52.391291)	4,875307	52,391291
198	Amsteldijk 290	Bom, granaat, afweergeschut	02/10/1942	Ongeveer 20 staafbrandbommen.?		POINT(4.900055 52.334145)	4,900055	52,334145
199	Ten Katestraat 15	Overig	02/10/1942	Projectiel. Gevonden `een ovaalvormig projectiel dat de grootte heeft van een conservenblik en gevuld is met zwart kruit en onderaan een lont bezit van 50 cm lengte. Het voorwerp is ingeleverd bij de Feldluftzeuggruppe. Het hangt onder een ballon en dient om hoogspanningsleidingen te vernielen.`		POINT(4.866504 52.367759)	4,866504	52,367759
200	Riekerweg 15	Overig	11/10/1942	`3 glazen flesschen van 3 d.l. inhoud gevonden, gevuld met een vloeistof, welke in ieder geval phosphor bevat. Tevens zijn nog 4 doppen van deze flesschen gevonden.`		POINT(4.836554 52.335547)	4,836554	52,335547
201	Sloterweg 720	Overig	15/10/1942	Een projectiel van een snelvuurkanon, doorsnede 2 cm, lengte 8 ? 9 cm, gevonden Op het land van J.P. Reynierse.		POINT(4.820095 52.34221)	4,820095	52,34221
202	Paramariboplein 14	Overig	28/11/1942	3 uitgebrande pyrotechnische lichten gevonden		POINT(4.854931 52.359457)	4,854931	52,359457
203	Bonaireplein 2	Overig	28/11/1942	3 resten van pyrotechnische lichten gevonden		POINT(4.855823 52.360971)	4,855823	52,360971
204	Bonairestraat 47	Overig	28/11/1942	1 niet uitgebrand pyrotechnisch licht gevonden		POINT(4.855471 52.36088)	4,855471	52,36088
205	Leeuwarderweg 46	Overig	03/01/1943	Lichtkogel gezien		POINT(4.924673 52.392069)	4,924673	52,392069
206	Baarsstraat 43/III	Bom, granaat, afweergeschut	04/01/1943	Stuk van een granaat. Gat in het dak, plafond van de derde verdieping licht beschadigd. Geen persoonlijke ongevallen		POINT(4.85486 52.349427)	4,85486	52,349427
207	Paramariboplein 8	Bom, granaat, afweergeschut	17/01/1943	Granaat afweergeschut ontploft. Schade aan de ruiten. Drie licht gewonden		POINT(4.854858 52.359358)	4,854858	52,359358
208	Antillenstraat 40/II	Bom, granaat, afweergeschut	18/01/1943	Granaat van het luchtdoelgeschut naar beneden gekomen en geëxplodeerd  tegen de erker van Antillenstraat 40 II  Schade aan ruiten en huisraad. Geen gewonden.  Bureau Overtoom 12.00 uur Meldt W. Schaters Jr, Chef L.B.d. aan dit bur: dat door hem te 11.05 uur van de Cde. Post L.B.D. telefonisch bericht werd ontvangen, dat een granaat zou zijn ontploft in een perceel Antillestraat 40 twwe hoog alhier, Te samen met de a.p. Degenaars (2771) heeft hij zich naar het genoemde adres begeven. Hier werd vast gesteld dat te pl.m. 11 uur een granaat is ontploft tegen de sponning van den erker aan de voorzijde. Het voorraam werd geheel vernield, het zij raam vertoont een groot gat. De vitrage is totaal vernield. De pluche overgordijnen zwaar beschadigd. Het plafond vertoond vele scherfgaten. Sponningen werden vernield. lambrizeering zwaar beschadigd. 2 stoelen en een boekenkast werden beschadigd. Zijmuur veroont een scherfgat. Een glas in lood ruitje van tuschen deur werd vernield;. De woning is gehuurd door Florian Nesvadba geboren te Medan 10-2-1913. Persoonlijke ongelukken kwamen niet voor. Van bovenstaande is zijnerzijds den Cdo. Post LBD in kennis gesteld, welke voor bericht aan de voorgeschreven Duitsche instantie-s zoomede Rijks- Inspectie in Den Haag zal zorg dragen. 		POINT(4.850522 52.359869)	4,850522	52,359869
209	Middenweg 131	Bom, granaat, afweergeschut	29/01/1943	1 brisantbom, niet geëxplodeerd. Schade aan ruiten		POINT(4.934252 52.351689)	4,934252	52,351689
210	Valeriusstraat 101	Bom, granaat, afweergeschut	04/02/1943	Granaatscherf van een projectiel van het afweergeschut. Lichte schade aan de straatdeur en twee kleine ruitjes gebroken		POINT(4.867388 52.35368)	4,867388	52,35368
211	Westlandgracht 195	Bom, granaat, afweergeschut	05/02/1943	Granaatscherven van het afweergeschut. Ongeveer 3 m2 vensterruit gebroken en een houten lijst beschadigd		POINT(4.846182 52.349765)	4,846182	52,349765
212	Pieter Langendijkstraat 49/hs	Bom, granaat, afweergeschut	08/02/1943	Granaatscherf. Pieter Langedijkstraat 49 hs: rechter bovenruit met raamkozijn en een ruit aan de zijkant van het portiek beschadigd. Eerste Helmersstraat 222: een gat in het winkelraam geslagen. Geen gewonden		POINT(4.861736 52.359946)	4,861736	52,359946
213	Eerste Helmersstraat 222	Omgevingsschade	08/02/1943			POINT(4.861279 52.360097)	4,861279	52,360097
214	Columbusplein 2	Bom, granaat, afweergeschut	08/02/1943	Scherf van granaat van het afweergeschut. De elfjarige Adriaan Jonkers gewond aan zijn linker onderbeen		POINT(4.855836 52.366031)	4,855836	52,366031
215	Insulindeweg 55	Bom, granaat, afweergeschut	06/03/1943	Niet-ontplofte granaat van het afweergeschut gevonden. Op 17 maart 1943 door het Sprengkommando van de Duitse Weermacht weggehaald		POINT(4.935709 52.361419)	4,935709	52,361419
216	Durgerdammerdijk 146	Mitrailleurvuur	12/03/1943	Getroffen door mitrailleurkogels. Geen persoonlijke ongelukken		POINT(4.994627 52.379047)	4,994627	52,379047
217	Laing's Nekstraat 19	Bom, granaat, afweergeschut	12/03/1943	Granaat van het afweergeschut ingeslagen en ontploft. `[?] een jongen van 6? jaar, genaamd Abraham Pakkedrager, door een scherf in de borst gedood. De zolder boven perceel 19 III is geheel vernield en tusschenmuren zoomede het raam in den zolder, door granaatscherven zwaar beschadigd. Het zijkamertje op 19 III, waar het getroffen jongetje sliep, is door scherven getroffen en het plafond dreigde in te storten. Ook het plafond van de W.C. is vernield. Verder geen gewonden.`		POINT(4.923271 52.356069)	4,923271	52,356069
218	Timorstraat 1/I	Bom, granaat, afweergeschut	30/03/1943	Scherf van een granaat van het luchtdoelgeschut. Ruit vernield. Geen persoonlijke ongevallen		POINT(4.935474 52.365679)	4,935474	52,365679
219	Gloriantstraat 22	Bom, granaat, afweergeschut	03/04/1943	Granaat van het luchtdoelgeschut neergekomen en geëxplodeerd. Geen schade en geen persoonlijke ongelukken		POINT(4.853237 52.379474)	4,853237	52,379474
220	Archimedesweg 59	Bom, granaat, afweergeschut	05/04/1943	Niet-ontplofte 2 cm granaat gevonden		POINT(4.939343 52.356256)	4,939343	52,356256
221	Semarangstraat 2/II	Bom, granaat, afweergeschut	08/04/1943	Brandbom. Dak en zolderverdieping uitgebrand		POINT(4.943603 52.361773)	4,943603	52,361773
222	Semarangstraat 7/III	Bom, granaat, afweergeschut	08/04/1943	Brandbom. Zolderverdieping in brand. door bewoners geblust		POINT(4.944103 52.361685)	4,944103	52,361685
223	Bataviastraat 9/hs	Bom, granaat, afweergeschut	08/04/1943	Brandbom. Brandbom in kamer, door bewoners geblust		POINT(4.94145 52.361306)	4,94145	52,361306
224	Bataviastraat 81/III	Bom, granaat, afweergeschut	08/04/1943	Brandbom in slaapkamer. Vrouw overleden, man gewond		POINT(4.94538 52.361707)	4,94538	52,361707
225	Bataviastraat 17/I	Bom, granaat, afweergeschut	08/04/1943	Brandbom. Brandbom in huiskamer, door bewoners geblust		POINT(4.941831 52.361362)	4,941831	52,361362
226	Kramatweg 52	Bom, granaat, afweergeschut	08/04/1943	Brandbommen. Kerkorgel door 2 brandbommen getroffen en geheel uitgebrand		POINT(4.945525 52.361897)	4,945525	52,361897
227	Bataviastraat 81	Bom, granaat, afweergeschut	08/04/1943	Brandbom op straat met zand geblust. Een bewaker van de Ordedienst licht aan het gelaat gewond		POINT(4.94538 52.361707)	4,94538	52,361707
228	Kruislaan 254	Bom, granaat, afweergeschut	08/04/1943	Circa 10 brandbommen gevallen. Geen schade, bommen in zand uitgebrand. Voorbijganger in de Kruislaan gewond door granaatscherf		POINT(4.950214 52.35236)	4,950214	52,35236
229	Bataviastraat 66/III	Bom, granaat, afweergeschut	08/04/1943	Elektron-thermietbrandbom door het dak geslagen `en in een bed op een slaapkamertje, waarin een meisje genaamd Cornelia, Engelbertina Bent sliep, terecht gekomen. Het kind bleef ongedeerd. Schade brandgaten in 3 dekens en 2 lakens en de spiraal van het bed licht beschadigd.`		POINT(4.945088 52.361536)	4,945088	52,361536
230	Zuider IJdijk 20	Bom, granaat, afweergeschut	08/04/1943	1 brandbom in het wachtlokaal van de sluiswachter. Gat in het dak		POINT(4.959512 52.365327)	4,959512	52,365327
231	Zuider IJdijk 18	Bom, granaat, afweergeschut	08/04/1943	33 brandbommen ingeslagen 		POINT(4.959512 52.365327)	4,959512	52,365327
232	Zuider IJdijk 22	Bom, granaat, afweergeschut	08/04/1943	3 brandbommen. 3 gaten in het wegdek van de brug		POINT(4.958773 52.368839)	4,958773	52,368839
233	Reguliersdwarsstraat 46	Vliegtuig(onderdeel) neergestort	27/04/1943	Vliegtuig omlaag gestort. 2.32 uur: `Brandend vliegtuig omlaag gestort in Reguliersdwarsstraat  achter Carltonhotel. Hierdoor zijn een groote brand en 3 explosies ontstaan. Het vuur is begrensd geworden door Muntplein, Vijzelstraat, Heerengracht, Geelvincksteeg, Singel en Muntplein.` Geheel uitgebrand: Singel 532-534 In puin: Singel 536-538, 540-542, 544-548 Gedeeltelijk verbrand: Vijzelstraat 43, 45, 47, 49 en 51 Gedeeltelijk verwoest: Regulierdwarsstraat 44, Geelvincksteeg 2, 4, 6, 8, 10, 11 en 13 Volkomen uitgebrand: Reguliersdwarsstraat 46 t/m ingang Carltonhotel. Gedeeltelijk uitgebrand: Reguliersdwarsstraat 44 Brandschade bovenverdieping: Vijzelstraat 22-24, Heerengracht 505 en 507.                                           Uit ?Het Achterhuis?, Anne Frank: `Dinsdag 27 april 1943. `Lieve Kitty, Het hele huis dendert van de ruzie. Moeder en ik, Van Daan en pappa, moeder en mevrouw, alles is kwaad op elkaar, leuke sfeer h?? Het gebruikelijke zondenregister van Anne kwam in z?n hele omvang opnieuw op het tapijt. Verleden zaterdag kwamen de buitenlandse heren weer op bezoek. Ze zijn tot zes uur gebleven, we zaten allemaal boven en durfden ons niet te verroeren.  Als er anders niemand in huis of in de buurt aan ?t werk is, hoort men in ?t priv?-kantoor  elke stap. Ik heb weer de zitkoorts, zo lang muisstil zitten valt heus niet mee. Mijnheer Voskuijl ligt al in het Binnengasthuis, mijnheer Kleiman is weer op kantoor, de maagbloeding was gauwer gestelpt dan anders. Hij heeft verteld dat de burgelijke stand nog eens extra toegetakeld is door de brandweer, die in plaats van het vuur te blussen, de hele boel onder water heeft gezet. Dat doet me plezier! Het Carlton is kapot, twee Engelse vliegers met een grote lading brandbommen aan boord zijn precies op het ?Offiziersheim? gevallen. De hele hoek Vijzelstraat-Singel is afgebrand. De luchtaanvallen op de Duitse steden worden van dag tot dag sterker. We hebben geen nacht rust meer, ik heb zwarte kringen onder mijn ogen door tekort aan slaap.`		POINT(4.891629 52.366115)	4,891629	52,366115
234	Talmastraat 33	Bom, granaat, afweergeschut	01/05/1943	Granaat ontploft. Ruiten beschadigd van de huizen: Talmastraat 29, 31, 33, 35, 37, 39, 20, 22, 24. Cornelis Springerstraat 1 hs, 2, 4 hs. Ook beschadigingen aan meubelen, en wegdek voor Talmastraat 33 ter grootte van 1 m2		POINT(4.901749 52.351039)	4,901749	52,351039
235	Liergouw 40	Bom, granaat, afweergeschut	02/05/1943	Ongeveer 40 brandbommen afgeworpen door Engels vliegtuig. Geen slachtoffers		POINT(4.968574 52.382094)	4,968574	52,382094
236	Kometensingel 182	Vliegtuig(onderdeel) neergestort	03/05/1943	1 vliegtuig neergekomen 		POINT(4.887291 52.414979)	4,887291	52,414979
237	Van Bossestraat 34	Vliegtuig(onderdeel) neergestort	03/05/1943	1 vliegtuig neergekomen. Van Bossestraat 28-44 beschadigd, waarvan de nummers 34-36 ernstig. Glasschade Van Bossestraat 25 en 27. Rochussenstraat 11 ernstig beschadigd. 4 doden, 12 gewonden		POINT(4.868519 52.381268)	4,868519	52,381268
238	Frederik Hendrikstraat 13	Overig	19/06/1943	Glazen bolletje gevuld met fosfor (inhoud 200 ? 300 cm3) neergekomen ?		POINT(4.874662 52.377133)	4,874662	52,377133
239	Rombout Hogerbeetsstraat 44	Overig	19/06/1943	Glazen bolletje gevuld met fosfor (inhoud 200 ? 300 cm3) neergekomen		POINT(4.873222 52.37719)	4,873222	52,37719
240	Ambonstraat 1	Bom, granaat, afweergeschut	22/06/1943	Granaat ingeslagen. Schade aan Ambonstraat 1 en 3, aan de achterzijde van Palembangstraat 44 veel schade aan ruiten en meubelen. 1 dode		POINT(4.938375 52.359084)	4,938375	52,359084
241	Wognumerstraat 10	Bom, granaat, afweergeschut	22/06/1943	Granaat ingeslagen. Glasschade aan nummers 6, 7, 8, 9, 10, 12 en 13 `Mej. Palm oud 12 jaar licht gewond.` Rapp. H.W. Schuchard, dat te ongeveer 3.15 uur door de buitenmuur van perceel Zaanstraat no.10 een granaat van het afweergeschut is doorgedrongen en daar is ontploft. Een gat van ongeveer 1 vierkante meter zit in de buitenmuur. Door de ontploffing is er een ravage ontstaan in de slaapkamer van perceel Zaanstraat nummer 10-I, Recht achter het gat stond een ledikant waarin de echtgenoote met dochtertje sliepen. Het dochtertje genaamd Geetruida is aan het oog verwond. Na behandeld te zijn aan het zittingskanaal. Westerpark van den GG en GD is zij lopend naar het B.G. gebracht voor verder onderzoek. De woningen links en rechts van perceel 10 hebben glasschade opgeloopen.		POINT(4.947993 52.386927)	4,947993	52,386927
242	Haarlemmerweg 4	Bom, granaat, afweergeschut	22/06/1943	Getroffen [door granaat?] Meldt de heer Ross Wijkhoofd L.B.D. vak 3 wijk B, dat op het terrein van de Westergasfabriek een scherf is terechtgekomen in de grote gashouder. Na telefonisch onderzoek of politiehulp noodig was, hetgeen niet noodig bleek te zijn, werd medegedeeld dat een groote scherf van het afweer geschut terecht is gekomen in de groote gashouder en daarin een groot gat is ontstaan. Waaruit ongeveer 50.000 kubieke meter gas is ontsnapt. Geen persoonlijke ongelukken zijn gemeld. Het gas is zo spoedig mogenlijk overgeheveld.		POINT(4.875234 52.386105)	4,875234	52,386105
243	Oranje-Vrijstaatkade 57	Mitrailleurvuur	03/07/1943	Gashouder door mitrailleurvuur in brand geschoten en uitgebrand		POINT(4.929961 52.356445)	4,929961	52,356445
244	Veelaan 17	Mitrailleurvuur	03/07/1943	Mitrailleurvuur. Enige ruiten vernield		POINT(4.9392 52.367499)	4,9392	52,367499
245	Cruquiusweg 12	Mitrailleurvuur	03/07/1943	Mitrailleurvuur. Enige ruiten vernield		POINT(4.934742 52.368426)	4,934742	52,368426
246	Linnaeuskade 31	Mitrailleurvuur	03/07/1943	Mitrailleurvuur. Linnaeuskade 31: dakpannen beschadigd. 1 dode. Pythagorasstraat 1: dakpannen beschadigd. Hogeweg 9 III: buitenmuren licht beschadigd. Bredeweg 35 hs: schade aan beddegoed, ledikant, staaldraadmatras, 1 ruit vernield. 2 binnendeuren licht beschadigd. Mr. P.N. Arntzeniusweg 65 hs: 1 ruit vernield. Javastraat 112: deur trapportaal licht beschadigd		POINT(4.932575 52.356275)	4,932575	52,356275
247	Pythagorasstraat 1	Omgevingsschade	03/07/1943	Dakpannen beschadigd		POINT(4.932444 52.356212)	4,932444	52,356212
248	Hogeweg 9/III	Omgevingsschade	03/07/1943	Buitenmuren licht beschadigd		POINT(4.931246 52.354248)	4,931246	52,354248
249	Bredeweg 35/hs	Omgevingsschade	03/07/1943	Schade aan beddegoed, ledikant, staaldraadmatras, 1 ruit vernield. 2 binnendeuren licht beschadigd.		POINT(4.931592 52.35487)	4,931592	52,35487
250	Javastraat 112	Omgevingsschade	03/07/1943	Deur trapportaal licht beschadigd		POINT(4.937022 52.363617)	4,937022	52,363617
251	Velserweg 28	Bom, granaat, afweergeschut	07/07/1943	Een gat in de grond ontdekt. `bij nader onderzoek is gebleken dat dit gat veroorzaakt was door een uit elkaar gesprongen granaat.`		POINT(4.84553 52.386378)	4,84553	52,386378
252	Zoutkeetsgracht 2	Bom, granaat, afweergeschut	10/07/1943	Een niet-ontploft 2 cm projectiel gevonden. In een vaartuig tegenover Stoommeelfabriek Holland		POINT(4.889953 52.388639)	4,889953	52,388639
253	Ranonkelkade 1, 2-18	Omgevingsschade	17/07/1943	Alle ruiten voor en achter stuk, alle huizen zware dakschade		POINT(4.907628 52.38696)	4,907628	52,38696
254	Oleanderstraat 3, 5, 7, 6, 8	Omgevingsschade	17/07/1943	Volkomen vernietigd		POINT(4.907427 52.387848)	4,907427	52,387848
255	Jasmijnstraat 26 28, 30	Omgevingsschade	17/07/1943	Jasmijnstraat 26, 28, 30 vernietigd, alle nummers in de Jasmijnstraat totale glas- en dakschade		POINT(4.908364 52.388167)	4,908364	52,388167
256	Bremstraat 2	Omgevingsschade	17/07/1943	Bremstraat: alle nummers totale glas- en dakschade	010003049125.jpg	POINT(4.908479 52.388365)	4,908479	52,388365
257	Asterweg 17-19	Omgevingsschade	03/07/1943	Wasscherij `Edelweis`		POINT(4.904249 52.389741)	4,904249	52,389741
258	Asterweg 25	Omgevingsschade	03/07/1943	N.V. Orsa		POINT(4.903618 52.391042)	4,903618	52,391042
259	Asterweg 13-15	Omgevingsschade	03/07/1943	De British-American-Tobacco Company		POINT(4.903299 52.389279)	4,903299	52,389279
260	Asterweg 14	Omgevingsschade	03/07/1943	De Amsterdamsche Dekenfabriek Ezet		POINT(4.904763 52.389707)	4,904763	52,389707
261	Wingerdweg 52	Omgevingsschade	03/07/1943	De post G.G. en G.D. aan den Wingerdweg	010003049130.jpg	POINT(4.916707 52.391004)	4,916707	52,391004
262	Wingerdweg 4	Omgevingsschade	03/07/1943	Het Rosa-scholencomplex aan den Hagedoornweg		POINT(4.913645 52.388817)	4,913645	52,388817
263	Laanweg 40	Omgevingsschade	03/07/1943	De Centrale Keuken aan den Laanweg		POINT(4.908049 52.386098)	4,908049	52,386098
264	Meidoornweg 18	Omgevingsschade	03/07/1943	In den loop van den avond zijn verscheidene waterleidingsbuizen gesprongen, n.l. Begoniastraat hoek Meidoornweg, Jasmijnstraat hoek Bremstraat en Mosplein hoek Distelkade.	010003049126.jpg	POINT(4.910229 52.386871)	4,910229	52,386871
265	Mussenstraat 15	Bom, granaat, afweergeschut	17/07/1943	1 blindganger?		POINT(4.916547 52.386708)	4,916547	52,386708
266	Ranonkelkade 27	Bom, granaat, afweergeschut	17/07/1943	1 blindganger?		POINT(4.906638 52.388879)	4,906638	52,388879
267	Van der Pekstraat 87	Bom, granaat, afweergeschut	18/07/1943	Blindganger gevonden		POINT(4.90995 52.389593)	4,90995	52,389593
268	Nieuwendammerdijk 532	Bom, granaat, afweergeschut	19/07/1943	Brisantbommen. 8 trechters van 5-15 meter diameter aangetroffen, veroorzaakt door ontplofte brisantbommen		POINT(4.946015 52.384952)	4,946015	52,384952
269	Papaverweg 35	Bom, granaat, afweergeschut	25/07/1943	Minstens 3 bommen. Brand en ernstige schade 		POINT(4.905862 52.395383)	4,905862	52,395383
270	Gedempt Hamerkanaal 31	Bom, granaat, afweergeschut	25/07/1943	12 ? 15 bommen. `Er werden echter geen vitale deelen getroffen en het bedrijf ondervindt geen stagnatie. Onder het personeel was 1 doode.`		POINT(4.926608 52.385363)	4,926608	52,385363
271	Kamperfoelieweg 209	Bom, granaat, afweergeschut	25/07/1943	7 bommen, waarvan er 1 niet explodeerde. Glasschade aan de kerk. Een buis van de Gemeente Waterleidingen getroffen. Glas- en dakschade. 4 doden, 2 zwaargewonden, 20 lichtgewonden.		POINT(4.910139 52.399292)	4,910139	52,399292
272	Kamperfoelieweg 90, 92, 124, 132, 144, 168, 174, 194, 196, 202-224, 145-193	Omgevingsschade	25/07/1943			POINT(4.914526 52.39575)	4,914526	52,39575
273	Heggerankweg 119-135, 140-162, 141-164, 166-182	Omgevingsschade	25/07/1943			POINT(4.911802 52.397725)	4,911802	52,397725
